Model,Display_Size(inches),Camera(Pixels),RAM(GB),Battery(mah),Processor
Galaxy Tab A8 10.5 (2021),10.5,8,3;4,7040,Unisoc Tiger T618 (12 nm)
Galaxy A13 5G,6.5,50,4,5000,MediaTek MT6833 Dimensity 700 5G (7 nm)
Galaxy A03,6.5,48,3;4,5000,
Galaxy A03 Core,6.5,8,2,5000,Unisoc SC9863A (28nm)
Galaxy F42 5G,6.6,64,6;8,5000,MediaTek MT6833 Dimensity 700 5G (7 nm)
Galaxy M52 5G,6.7,64,6;8,5000,Qualcomm SM7325 Snapdragon 778G 5G (6 nm)
Galaxy M22,6.4,48,4;6,5000,Mediatek MT6769V/CU Helio G80 (12 nm)
Galaxy M32 5G,6.5,48,6;8,5000,MediaTek MT6853 Dimensity 720 5G (7 nm)
Galaxy A03s,6.5,13,2;4,5000,MediaTek MT6765 Helio P35 (12nm)
Galaxy A52s 5G,6.5,64,6;8,4500,Qualcomm SM7325 Snapdragon 778G 5G (6 nm)
Galaxy Z Fold3 5G,7.6,12,12,4400,Qualcomm SM8350 Snapdragon 888 5G (5 nm)
Galaxy Z Flip3 5G,6.7,12,8,3300,Qualcomm SM8350 Snapdragon 888 5G (5 nm)
Galaxy Watch4 Classic,1.4,,1.5,361,Exynos W920 (5 nm)
Galaxy Watch4,1.4,,1.5,361,Exynos W920 (5 nm)
Galaxy A12 (India),6.5,48,4;6,5000,Exynos 850 (8nm)
Galaxy A12 Nacho,6.5,48,3;4,5000,Exynos 850 (8nm)
Galaxy M21 2021,6.4,48,4;6,6000,Exynos 9611 (10nm)
Galaxy F22,6.4,48,4;6,6000,Mediatek MT6769V/CU Helio G80 (12 nm)
Galaxy M32,6.4,64,4;8,6000,Mediatek MT6769V/CU Helio G80 (12 nm)
Galaxy A22 5G,6.6,48,4;8,5000,MediaTek MT6833 Dimensity 700 5G (7 nm)
Galaxy A22,6.4,48,4;6,5000,Mediatek MT6769V/CU Helio G80 (12 nm)
Galaxy Tab A7 Lite,8.7,8,3;4,5100,Mediatek MT8768T Helio P22T (12 nm)
Galaxy Tab S7 FE,12.4,8,4;8,10090,Qualcomm SM7225 Snapdragon 750G 5G (8 nm) - 5G model;Qualcomm SM7325 Snapdragon 778G 5G (6 nm) - Wi-Fi model
Galaxy F52 5G,6.6,64,8,4500,Qualcomm SM7225 Snapdragon 750G 5G (8 nm)
Galaxy M42 5G,6.6,48,6;8,5000,Qualcomm SM7225 Snapdragon 750G 5G (8 nm)
Galaxy M12,6.5,48,3;4,5000,Exynos 850 (8nm)
Galaxy Quantum 2,6.7,64,6,4500,Qualcomm SM8150 Snapdragon 855+ (7 nm); QRNG security chipset
Galaxy F12,6.5,48,4,6000,Exynos 850 (8nm)
Galaxy F02s,6.5,13,3;4,5000,Qualcomm SDM450 Snapdragon 450 (14 nm)
Galaxy A72,6.7,64,6;8,5000,Qualcomm SM7125 Snapdragon 720G (8 nm)
Galaxy A52 5G,6.5,64,6;8,4500,Qualcomm SM7225 Snapdragon 750G 5G (8 nm)
Galaxy A52,6.5,64,4;8,4500,Qualcomm SM7125 Snapdragon 720G (8 nm)
Galaxy Xcover 5,5.3,16,4,3000,Exynos 850 (8nm)
Galaxy A32,6.4,64,4;8,5000,Mediatek MT6769V/CU Helio G80 (12 nm)
Galaxy M62,6.7,64,8,7000,Exynos 9825 (7 nm)
Galaxy F62,6.7,64,6;8,7000,Exynos 9825 (7 nm)
Galaxy M12 (India),6.5,48,4;6,6000,Exynos 850 (8nm)
Galaxy S21 Ultra 5G,6.8,108,12;16,5000,Exynos 2100 (5 nm) - International;Qualcomm SM8350 Snapdragon 888 5G (5 nm) - USA/China
Galaxy S21+ 5G,6.7,64,8,4800,Exynos 2100 (5 nm) - International;Qualcomm SM8350 Snapdragon 888 5G (5 nm) - USA/China
Galaxy S21 5G,6.2,64,8,4000,Exynos 2100 (5 nm) - International;Qualcomm SM8350 Snapdragon 888 5G (5 nm) - USA/China
Galaxy A32 5G,6.5,48,4;8,5000,MediaTek MT6853 Dimensity 720 5G (7 nm)
Galaxy M02s,6.5,13,3;4,5000,Qualcomm SDM450 Snapdragon 450 (14 nm)
Galaxy A12,6.5,48,2;6,5000,Mediatek MT6765 Helio P35 (12nm)
Galaxy M02,6.5,13,2;3,5000,Mediatek MT6739W (28 nm)
Galaxy A02,6.5,13,2;4,5000,Mediatek MT6739W (28 nm)
